1,President,Center occur source cup impact.,433.98,31,5
2,Address,Reason dark hope onto fine instead war.,75.20,35,1
3,Spend,Speak best mission leg.,15.10,74,1
4,Student,However environmental majority little professor.,318.63,34,9
5,Year,Eight need arrive population recently claim do middle.,185.31,55,2
6,Particularly,Season fine along decision.,215.53,8,7
7,Bag,,162.38,44,7
8,Official,Network look particularly.,438.79,56,8
9,Fire,,424.37,80,10
10,Enough,,110.92,86,4
11,Hand,,110.08,6,10
12,Pretty,Contain south same perhaps add.,238.82,18,9
13,Treatment,,9.71,17,4
14,Analysis,Event begin increase organization.,484.65,44,2
15,Six,Wind end reveal market difference purpose.,272.30,6,9
16,These,Stand painting inside claim yeah again.,260.64,99,7
17,Option,From form her you child today stage clearly.,411.30,92,7
18,Sing,After the wait coach character star into modern.,10.27,89,4
19,Two,Marriage act morning measure inside.,402.92,11,1
20,Within,Amount fund choose remember base industry scientist.,64.23,57,3
21,Develop,,302.95,51,10
22,Organization,,250.89,35,10
23,Television,Bit leader reduce seem wear behind.,67.82,62,4
24,Woman,,64.18,60,8
25,Share,Single wait ago have economy.,448.96,64,8
26,Line,Up no stuff which.,488.68,15,5
27,Represent,Artist either compare try during.,369.12,46,10
28,Course,General four Congress.,300.56,51,9
29,Discussion,Big catch its case citizen central on.,267.18,56,9
30,Stock,Around team run decade can.,8.93,38,9
31,Former,,296.50,80,10
32,Quickly,Particularly officer eight unit.,133.33,51,4
33,Director,Far final leave road trouble.,254.56,99,8
34,Benefit,Lay movement fast.,83.04,22,10
35,College,,371.52,99,1
36,Ability,Congress quality half majority property join against.,317.50,96,2
37,Identify,Son nation system media.,181.62,33,9
38,Garden,Not development huge item.,237.77,10,9
39,Particular,Teacher card upon list none personal.,163.74,40,7
40,Audience,,32.08,61,3
41,Test,,233.18,45,8
42,Plant,Election thought run finally speech professional seek.,252.16,64,3
43,Tree,Blood assume player production article there would head.,106.77,96,6
44,Break,Democrat shoulder career quality education actually.,54.27,71,6
45,Late,Take difficult card company technology.,198.88,16,8
46,Full,Agree national much her.,290.46,62,6
47,Everyone,,104.32,77,3
48,Identify,Begin skin deep model pretty particular.,185.62,21,1
49,Decision,Create business class give no.,379.43,61,8
50,Physical,Yourself me stand fact fire movie or.,390.72,43,3
51,Life,Dinner specific race listen follow.,258.34,74,1
52,Many,Goal cultural girl record organization any.,401.70,15,8
53,Avoid,Say born western raise place fill have three.,310.96,99,1
54,Bill,Too past argue front.,52.61,14,1
55,A,,193.08,38,6
56,Factor,Company particularly quality its hand commercial TV.,61.99,71,4
57,Collection,Sign meeting fill task.,499.19,70,7
58,Analysis,Operation we any law share whatever nature.,239.04,92,4
59,Want,Life agreement heart daughter buy newspaper resource.,409.93,98,10
60,Purpose,,336.89,19,5
61,Coach,Possible note memory main.,342.83,71,1
62,Read,,359.94,68,10
63,Attention,Bed yeah say action opportunity.,32.26,29,10
64,Middle,Culture music mission song side father civil.,469.93,30,1
65,Support,After rest pretty into professor.,28.15,87,1
66,Note,Want blood work hear economic certainly they.,444.88,10,3
67,Recently,Bill drive tell recently seem strategy field miss.,327.13,46,3
68,Bed,Until most avoid truth you dog perhaps deep.,465.43,8,6
69,Capital,Yard skill front nothing speech.,230.13,52,7
70,Agency,,414.96,32,3
71,Painting,,414.33,14,1
72,Democrat,Medical certainly down hot.,469.11,80,2
73,Think,House us no also site bad after.,234.99,48,3
74,Action,Move help term pick author fear win.,5.81,6,6
75,Claim,Now continue home along federal wide.,401.51,89,5
76,Too,Push crime carry agent feel.,30.34,96,10
77,Sense,,289.51,1,2
78,Success,Public name stand someone later participant remember.,211.12,9,9
79,West,,261.19,61,3
80,Couple,Major will dark without.,161.82,2,10
81,Store,General understand own health long address energy.,205.03,14,3
82,Site,Over provide financial project tell worker.,188.16,66,1
83,Book,Pick officer arm chair else best.,375.90,16,6
84,Pm,Miss international price word even attention night.,333.08,26,3
85,Some,Design might but seven go make southern.,449.57,45,7
86,Lead,Because green blood then audience who.,335.62,48,5
87,Various,Just during recent yes item camera itself.,200.72,19,5
88,Daughter,Lawyer activity scientist assume us.,244.90,86,4
89,Threat,Congress customer generation nice activity here.,328.78,89,4
90,Affect,,460.82,97,8
91,Resource,Throughout medical fire.,388.01,55,8
92,Happy,,93.85,57,6
93,May,Their stand drop popular.,275.40,70,9
94,Arrive,Visit black pay remain.,65.56,59,9
95,Party,Laugh which suggest business such a evidence court.,205.99,92,2
96,East,Situation police happy already movie.,391.07,14,4
97,Former,Fast discuss focus for authority until low.,148.37,42,1
98,Decade,Law case put now knowledge.,140.72,84,5
99,Beat,Different strong eight imagine mean father.,188.24,52,6
100,Glass,Our computer majority four appear theory draw.,70.07,16,8
101,Manager,Way race tax whose dog despite mind.,45.25,88,3
102,Catch,Affect fact group many modern range.,39.32,39,4
103,Share,Policy argue purpose action range.,281.77,25,8
104,Student,Without give morning.,467.39,21,5
105,Who,Country across every role.,222.52,44,2
106,Law,,321.57,93,1
107,Group,,240.40,34,7
108,Ahead,Mrs administration doctor itself blood effort.,427.64,94,7
109,Sign,Total onto beyond moment them blue.,196.51,99,10
110,Office,Little prove design interesting one suggest lay culture.,109.39,22,6
111,Street,Raise you us third necessary.,397.22,35,1
112,Human,,37.44,13,2
113,Perhaps,Run according stand husband.,274.47,20,7
114,Husband,Lawyer close store sit list woman.,111.18,81,9
115,Individual,Without hundred still visit.,286.97,15,5
116,Skill,Beat low actually she machine white.,105.77,42,2
117,Cover,Four where listen who process live.,335.03,5,8
118,Test,Provide possible shoulder book outside.,349.70,8,7
119,Hand,Political lot eat today.,47.04,26,6
